"MSOA","sex","age_band","econ_cat","freq"
"E02001708",0,1,0,144
"E02001708",0,1,1,150
"E02001708",0,1,2,3
"E02001708",0,1,3,2
"E02001708",0,1,4,50
"E02001708",0,1,5,0
"E02001708",0,1,6,118
"E02001708",0,1,7,16
"E02001708",0,1,8,6
"E02001708",0,1,9,10
"E02001708",0,2,0,153
"E02001708",0,2,1,345
"E02001708",0,2,2,13
"E02001708",0,2,3,11
"E02001708",0,2,4,31
"E02001708",0,2,5,1
"E02001708",0,2,6,25
"E02001708",0,2,7,68
"E02001708",0,2,8,7
"E02001708",0,2,9,17
"E02001708",0,3,0,226
"E02001708",0,3,1,304
"E02001708",0,3,2,24
"E02001708",0,3,3,18
"E02001708",0,3,4,15
"E02001708",0,3,5,2
"E02001708",0,3,6,17
"E02001708",0,3,7,69
"E02001708",0,3,8,17
"E02001708",0,3,9,14
"E02001708",0,4,0,250
"E02001708",0,4,1,336
"E02001708",0,4,2,14
"E02001708",0,4,3,21
"E02001708",0,4,4,17
"E02001708",0,4,5,11
"E02001708",0,4,6,3
"E02001708",0,4,7,52
"E02001708",0,4,8,43
"E02001708",0,4,9,9
"E02001708",0,5,0,190
"E02001708",0,5,1,176
"E02001708",0,5,2,15
"E02001708",0,5,3,14
"E02001708",0,5,4,10
"E02001708",0,5,5,276
"E02001708",0,5,6,1
"E02001708",0,5,7,25
"E02001708",0,5,8,39
"E02001708",0,5,9,12
"E02001708",0,6,0,27
"E02001708",0,6,1,10
"E02001708",0,6,2,2
"E02001708",0,6,3,3
"E02001708",0,6,4,0
"E02001708",0,6,5,695
"E02001708",0,6,6,1
"E02001708",0,6,7,3
"E02001708",0,6,8,7
"E02001708",0,6,9,11
"E02001708",1,1,0,93
"E02001708",1,1,1,135
"E02001708",1,1,2,2
"E02001708",1,1,3,6
"E02001708",1,1,4,77
"E02001708",1,1,5,0
"E02001708",1,1,6,142
"E02001708",1,1,7,1
"E02001708",1,1,8,5
"E02001708",1,1,9,7
"E02001708",1,2,0,30
"E02001708",1,2,1,465
"E02001708",1,2,2,11
"E02001708",1,2,3,28
"E02001708",1,2,4,31
"E02001708",1,2,5,0
"E02001708",1,2,6,45
"E02001708",1,2,7,5
"E02001708",1,2,8,13
"E02001708",1,2,9,6
"E02001708",1,3,0,43
"E02001708",1,3,1,463
"E02001708",1,3,2,17
"E02001708",1,3,3,76
"E02001708",1,3,4,26
"E02001708",1,3,5,1
"E02001708",1,3,6,23
"E02001708",1,3,7,15
"E02001708",1,3,8,26
"E02001708",1,3,9,8
"E02001708",1,4,0,39
"E02001708",1,4,1,458
"E02001708",1,4,2,15
"E02001708",1,4,3,88
"E02001708",1,4,4,28
"E02001708",1,4,5,8
"E02001708",1,4,6,6
"E02001708",1,4,7,8
"E02001708",1,4,8,41
"E02001708",1,4,9,3
"E02001708",1,5,0,55
"E02001708",1,5,1,316
"E02001708",1,5,2,22
"E02001708",1,5,3,50
"E02001708",1,5,4,25
"E02001708",1,5,5,141
"E02001708",1,5,6,0
"E02001708",1,5,7,6
"E02001708",1,5,8,51
"E02001708",1,5,9,17
"E02001708",1,6,0,15
"E02001708",1,6,1,25
"E02001708",1,6,2,11
"E02001708",1,6,3,17
"E02001708",1,6,4,0
"E02001708",1,6,5,533
"E02001708",1,6,6,1
"E02001708",1,6,7,1
"E02001708",1,6,8,8
"E02001708",1,6,9,4
"E02001709",0,1,0,83
"E02001709",0,1,1,94
"E02001709",0,1,2,3
"E02001709",0,1,3,6
"E02001709",0,1,4,37
"E02001709",0,1,5,0
"E02001709",0,1,6,162
"E02001709",0,1,7,7
"E02001709",0,1,8,3
"E02001709",0,1,9,3
"E02001709",0,2,0,124
"E02001709",0,2,1,332
"E02001709",0,2,2,25
"E02001709",0,2,3,20
"E02001709",0,2,4,22
"E02001709",0,2,5,0
"E02001709",0,2,6,12
"E02001709",0,2,7,45
"E02001709",0,2,8,3
"E02001709",0,2,9,7
"E02001709",0,3,0,223
"E02001709",0,3,1,314
"E02001709",0,3,2,41
"E02001709",0,3,3,38
"E02001709",0,3,4,22
"E02001709",0,3,5,1
"E02001709",0,3,6,5
"E02001709",0,3,7,99
"E02001709",0,3,8,26
"E02001709",0,3,9,6
"E02001709",0,4,0,209
"E02001709",0,4,1,359
"E02001709",0,4,2,43
"E02001709",0,4,3,41
"E02001709",0,4,4,16
"E02001709",0,4,5,14
"E02001709",0,4,6,5
"E02001709",0,4,7,51
"E02001709",0,4,8,27
"E02001709",0,4,9,7
"E02001709",0,5,0,142
"E02001709",0,5,1,162
"E02001709",0,5,2,23
"E02001709",0,5,3,10
"E02001709",0,5,4,2
"E02001709",0,5,5,241
"E02001709",0,5,6,3
"E02001709",0,5,7,28
"E02001709",0,5,8,27
"E02001709",0,5,9,14
"E02001709",0,6,0,28
"E02001709",0,6,1,13
"E02001709",0,6,2,10
"E02001709",0,6,3,4
"E02001709",0,6,4,0
"E02001709",0,6,5,949
"E02001709",0,6,6,1
"E02001709",0,6,7,6
"E02001709",0,6,8,5
"E02001709",0,6,9,22
"E02001709",1,1,0,84
"E02001709",1,1,1,112
"E02001709",1,1,2,2
"E02001709",1,1,3,5
"E02001709",1,1,4,50
"E02001709",1,1,5,0
"E02001709",1,1,6,180
"E02001709",1,1,7,0
"E02001709",1,1,8,6
"E02001709",1,1,9,9
"E02001709",1,2,0,29
"E02001709",1,2,1,359
"E02001709",1,2,2,7
"E02001709",1,2,3,68
"E02001709",1,2,4,28
"E02001709",1,2,5,0
"E02001709",1,2,6,16
"E02001709",1,2,7,0
"E02001709",1,2,8,10
"E02001709",1,2,9,5
"E02001709",1,3,0,33
"E02001709",1,3,1,550
"E02001709",1,3,2,19
"E02001709",1,3,3,138
"E02001709",1,3,4,16
"E02001709",1,3,5,1
"E02001709",1,3,6,10
"E02001709",1,3,7,3
"E02001709",1,3,8,12
"E02001709",1,3,9,8
"E02001709",1,4,0,16
"E02001709",1,4,1,501
"E02001709",1,4,2,20
"E02001709",1,4,3,168
"E02001709",1,4,4,22
"E02001709",1,4,5,10
"E02001709",1,4,6,2
"E02001709",1,4,7,6
"E02001709",1,4,8,22
